minor_major,year,count
major,1977,1.0
major,1979,1.5
major,1981,1.3333333333333333
major,1982,1.25
major,1984,1.2
major,1985,1.1666666666666667
major,1988,1.2857142857142858
major,1989,1.375
major,1991,1.3333333333333333
major,1992,1.3
major,1995,1.5
major,1996,1.5
major,1998,1.6
major,1999,1.8
major,2000,1.9
major,2001,2.0
major,2002,1.9
major,2003,1.9
major,2004,2.1
major,2005,2.4
major,2007,2.3
major,2008,2.5
major,2009,2.4
major,2010,2.4
major,2011,2.4
major,2014,2.3
major,2015,2.3
major,2016,2.3
major,2017,2.2
major,2018,1.9
major,2019,1.9
major,2020,1.8
minor,1975,1.9
minor,1976,1.8
minor,1977,1.8
minor,1978,1.8
minor,1979,2.0
minor,1980,2.4
minor,1981,2.6
minor,1982,2.6
minor,1983,2.7
minor,1984,2.8
minor,1985,3.1
minor,1986,3.1
minor,1987,3.1
minor,1988,3.1
minor,1989,3.3
minor,1990,3.4
minor,1991,3.2
minor,1992,3.3
minor,1993,3.4
minor,1994,3.2
minor,1995,3.5
minor,1996,3.7
minor,1997,3.8
minor,1998,4.4
minor,2000,4.4
minor,2001,4.4
minor,2002,4.5
minor,2003,4.8
minor,2004,4.9
minor,2005,5.5
minor,2006,5.0
minor,2007,5.0
minor,2008,4.9
minor,2009,4.4
minor,2010,4.7
minor,2011,4.4
minor,2012,5.1
minor,2013,4.8
minor,2014,4.7
minor,2015,4.2
minor,2016,4.3
minor,2017,4.5
minor,2018,4.8
minor,2019,5.0
minor,2020,5.1
none,1975,4.8
none,1978,4.1
none,1979,4.1
none,1980,3.9
none,1982,3.9
none,1983,3.6
none,1984,3.5
none,1985,3.4
none,1986,3.2
none,1987,2.4
none,1988,3.0
none,1989,3.1
none,1990,3.4
none,1991,3.8
none,1992,3.9
none,1993,4.0
none,1994,4.4
none,1995,5.0
none,1996,5.2
none,1997,5.5
none,1998,5.1
none,1999,5.4
none,2000,5.8
none,2001,6.0
none,2002,6.4
none,2003,7.5
none,2004,7.1
none,2005,7.0
none,2006,7.2
none,2007,7.8
none,2008,8.3
none,2009,8.3
none,2010,8.3
none,2011,8.4
none,2012,8.3
none,2013,8.2
none,2014,7.9
none,2015,7.7
none,2016,8.0
none,2017,7.5
none,2018,7.5
none,2019,8.0
none,2020,8.5
